A,B,C,grid_loc
7,21,14,"4,A"
8,21,14,"4,A"
8,21,16,"4,A"
8,21,16,"4,A"
8,21,16,"4,A"
8,21,16,"4,A"
8,21,16,"4,A"
8,21,16,"4,A"
8,21,16,"4,A"
8,21,16,"4,A"
0,21,16,"4,A"
0,21,16,"4,A"
0,21,16,"4,A"
0,21,16,"4,A"
0,21,16,"4,A"
0,21,16,"4,A"
0,21,16,"4,A"
0,21,16,"4,A"
0,21,16,"4,A"
0,32,16,"4,A"
0,32,16,"4,A"
0,32,16,"4,A"
0,32,16,"4,A"
0,32,16,"4,A"
0,32,16,"4,A"
0,32,16,"4,A"
0,32,16,"4,A"
0,32,16,"4,A"
0,49,16,"4,A"
3,49,16,"4,A"
5,33,14,"4,A"
5,33,11,"4,A"
5,33,11,"4,A"
5,33,11,"4,A"
5,33,11,"4,A"
5,33,11,"4,A"
5,33,11,"4,A"
5,33,11,"4,A"
5,33,11,"4,A"
5,33,11,"4,A"
5,33,11,"4,A"
5,33,11,"4,A"
5,33,11,"4,A"
5,37,11,"4,A"
4,37,11,"4,A"
4,37,11,"4,A"
4,37,11,"4,A"
5,37,11,"4,A"
5,37,11,"4,A"
5,37,11,"4,A"
3,37,11,"4,A"
3,37,11,"4,A"
3,37,11,"4,A"
4,37,11,"4,A"
4,37,11,"4,A"
4,37,11,"4,A"
3,37,9,"4,A"
3,37,9,"4,A"
3,37,9,"4,A"
3,37,9,"4,A"
3,37,9,"4,A"
3,37,9,"4,A"
5,37,9,"4,A"
