A,B,C,grid_loc
8,8,29,"3,E"
8,9,29,"3,E"
8,9,29,"3,E"
4,7,29,"3,E"
5,7,29,"3,E"
5,7,29,"3,E"
5,7,21,"3,E"
4,6,21,"3,E"
4,6,21,"3,E"
5,6,21,"3,E"
5,9,21,"3,E"
5,9,21,"3,E"
5,9,21,"3,E"
4,9,21,"3,E"
4,9,21,"3,E"
4,9,21,"3,E"
3,6,18,"3,E"
6,6,18,"3,E"
6,9,18,"3,E"
5,9,18,"3,E"
4,9,18,"3,E"
5,9,18,"3,E"
4,9,18,"3,E"
3,9,18,"3,E"
4,9,18,"3,E"
4,7,18,"3,E"
4,8,18,"3,E"
4,8,18,"3,E"
4,8,18,"3,E"
3,8,18,"3,E"
4,8,18,"3,E"
5,8,18,"3,E"
4,8,18,"3,E"
4,8,18,"3,E"
4,8,18,"3,E"
4,8,18,"3,E"
5,8,18,"3,E"
4,10,18,"3,E"
4,10,18,"3,E"
7,10,18,"3,E"
5,10,18,"3,E"
7,10,18,"3,E"
5,10,18,"3,E"
4,10,18,"3,E"
5,10,18,"3,E"
3,10,18,"3,E"
3,10,18,"3,E"
4,10,18,"3,E"
6,10,18,"3,E"
6,10,18,"3,E"
