A,B,C,grid_loc
5,12,13,"3,D"
5,12,13,"3,D"
4,12,13,"3,D"
5,12,13,"3,D"
6,12,13,"3,D"
7,12,13,"3,D"
4,12,13,"3,D"
4,12,13,"3,D"
7,12,13,"3,D"
7,9,13,"3,D"
7,9,13,"3,D"
7,7,13,"3,D"
7,8,13,"3,D"
7,12,13,"3,D"
7,12,13,"3,D"
6,12,16,"3,D"
6,12,19,"3,D"
8,12,19,"3,D"
5,12,19,"3,D"
5,12,19,"3,D"
5,12,19,"3,D"
6,12,19,"3,D"
6,12,19,"3,D"
9,12,19,"3,D"
8,12,19,"3,D"
8,12,19,"3,D"
5,12,19,"3,D"
6,12,19,"3,D"
6,12,19,"3,D"
5,12,19,"3,D"
4,12,19,"3,D"
4,8,19,"3,D"
7,8,19,"3,D"
7,9,19,"3,D"
6,9,19,"3,D"
5,9,19,"3,D"
4,9,19,"3,D"
5,9,11,"3,D"
8,9,11,"3,D"
6,9,11,"3,D"
3,9,11,"3,D"
3,9,11,"3,D"
4,9,11,"3,D"
6,9,11,"3,D"
4,9,11,"3,D"
5,9,11,"3,D"
4,9,11,"3,D"
6,9,11,"3,D"
6,9,11,"3,D"
4,9,11,"3,D"
