A,B,C,grid_loc
3,37,8,"4,B"
3,37,8,"4,B"
6,37,8,"4,B"
6,38,8,"4,B"
6,34,8,"4,B"
4,34,8,"4,B"
4,34,8,"4,B"
4,34,9,"4,B"
5,34,9,"4,B"
5,34,9,"4,B"
5,34,7,"4,B"
9,34,6,"4,B"
5,34,6,"4,B"
5,34,6,"4,B"
5,34,7,"4,B"
0,34,10,"4,B"
4,34,10,"4,B"
4,34,10,"4,B"
4,34,8,"4,B"
3,34,8,"4,B"
2,34,8,"4,B"
4,34,8,"4,B"
3,34,8,"4,B"
4,34,8,"4,B"
3,34,8,"4,B"
3,26,8,"4,B"
4,26,8,"4,B"
3,26,8,"4,B"
3,26,8,"4,B"
3,26,8,"4,B"
5,26,8,"4,B"
4,26,8,"4,B"
3,26,8,"4,B"
4,26,8,"4,B"
4,26,8,"4,B"
2,26,8,"4,B"
3,26,8,"4,B"
5,26,8,"4,B"
4,22,12,"4,B"
4,32,12,"4,B"
3,32,12,"4,B"
3,32,12,"4,B"
3,32,8,"4,B"
3,32,9,"4,B"
3,32,9,"4,B"
4,32,9,"4,B"
4,32,9,"4,B"
6,32,9,"4,B"
6,32,7,"4,B"
2,32,7,"4,B"
3,32,9,"4,B"
3,32,9,"4,B"
3,32,9,"4,B"
3,32,9,"4,B"
3,32,9,"4,B"
4,32,9,"4,B"
4,32,9,"4,B"
4,32,9,"4,B"
6,32,9,"4,B"
4,32,9,"4,B"
4,32,9,"4,B"
3,32,9,"4,B"
4,32,9,"4,B"
4,32,9,"4,B"
4,32,9,"4,B"
4,32,9,"4,B"
4,32,9,"4,B"
4,32,9,"4,B"
4,32,9,"4,B"
4,32,9,"4,B"
3,32,9,"4,B"
