A,B,C,grid_loc
5,7,7,"2,D"
5,9,7,"2,D"
5,9,7,"2,D"
5,7,7,"2,D"
5,7,7,"2,D"
5,7,7,"2,D"
5,7,8,"2,D"
5,8,8,"2,D"
5,7,8,"2,D"
5,9,8,"2,D"
5,7,8,"2,D"
5,6,8,"2,D"
6,6,8,"2,D"
8,6,8,"2,D"
8,8,8,"2,D"
7,8,8,"2,D"
6,8,8,"2,D"
8,8,8,"2,D"
5,8,8,"2,D"
5,8,8,"2,D"
6,8,8,"2,D"
6,7,8,"2,D"
8,7,8,"2,D"
5,7,8,"2,D"
6,7,8,"2,D"
7,7,8,"2,D"
7,7,9,"2,D"
7,7,9,"2,D"
8,4,12,"2,D"
8,4,12,"2,D"
8,4,12,"2,D"
7,6,12,"2,D"
7,6,12,"2,D"
7,6,12,"2,D"
5,6,12,"2,D"
5,6,12,"2,D"
5,6,12,"2,D"
8,6,12,"2,D"
8,6,8,"2,D"
8,6,8,"2,D"
8,6,5,"2,D"
8,6,7,"2,D"
8,6,7,"2,D"
8,9,6,"2,D"
8,9,6,"2,D"
8,9,6,"2,D"
8,7,6,"2,D"
8,5,6,"2,D"
