A,B,C,grid_loc
3,11,11,"4,C"
3,11,16,"4,C"
3,11,9,"4,C"
4,11,9,"4,C"
4,11,9,"4,C"
8,11,9,"4,C"
3,11,14,"4,C"
3,12,14,"4,C"
2,12,14,"4,C"
2,12,14,"4,C"
2,12,14,"4,C"
3,12,14,"4,C"
3,12,14,"4,C"
3,12,14,"4,C"
4,12,14,"4,C"
4,12,14,"4,C"
4,12,14,"4,C"
4,12,14,"4,C"
3,12,14,"4,C"
3,12,16,"4,C"
4,12,16,"4,C"
3,12,16,"4,C"
3,12,16,"4,C"
4,12,16,"4,C"
5,12,16,"4,C"
5,12,16,"4,C"
6,12,16,"4,C"
3,12,16,"4,C"
3,12,16,"4,C"
3,12,16,"4,C"
3,12,16,"4,C"
3,12,16,"4,C"
3,12,16,"4,C"
3,12,16,"4,C"
3,12,16,"4,C"
2,12,16,"4,C"
2,12,16,"4,C"
2,12,16,"4,C"
3,12,16,"4,C"
